"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"Absidia.repens",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Absidia.spinosa",0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,3,0,0,5,0,0,0,5,0
"Acaulospora.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Acephala.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Acremonium.alternatum",0,0,11,0,54,14,9,19,0,3,0,2,9,4,2,6,3,0,8,0,24,0,52,0
"Acremonium.blochii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0
"Acremonium.chrysogenum",0,0,0,0,0,0,0,18,0,3,0,4,0,4,25,1,0,0,2,0,0,0,0,0
"Acremonium.fusidioides",0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"Acremonium.persicinum",0,0,25,56,33,12,15,35,0,12,122,5,5,28,70,3,4,10,18,0,0,150,5,57
"Acremonium.sclerotigenum",0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,56,0,79,0,69
"Acremonium.sp",1,188,0,0,0,0,6,11,0,1,0,0,0,10,0,2,0,11,2,0,27,0,7,0
"Acrocalymma.medicaginis",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0
"Acrocalymma.vagum",0,0,0,0,0,0,0,0,0,5,0,5,8,33,0,0,6,26,0,0,34,0,9,0
"Acrostalagmus.luteoalbus",0,135,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,4,0
"Acrostalagmus.sp",0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,19,0,4,0
"Actinomucor.elegans",0,0,5,0,13,0,4,17,0,0,0,2,1,1,0,0,2,5,3,0,0,0,9,0
"Alternaria.atra",7,0,13,0,50,21,28,117,0,12,0,10,24,2,38,4,0,19,2,0,109,0,128,0
"Alternaria.chlamydosporigena",0,0,0,396,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,344,0,2936,0,428
"Alternaria.eichhorniae",0,0,0,1094,0,0,0,0,0,0,1757,0,0,0,0,0,0,0,0,1915,0,3199,0,862
"Alternaria.infectoria",4,0,16,0,118,15,0,83,0,2,73,7,38,54,114,1,12,36,10,0,106,0,54,0
"Alternaria.japonica",0,0,30,0,75,13,9,66,0,7,0,12,58,130,50,31,7,15,7,0,26,0,48,0
"Alternaria.obclavata",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"Alternaria.penicillata",0,0,0,79,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,118,0,460,0,91
"Alternaria.planifunda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"Alternaria.sonchi",0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Alternaria.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Alternaria.triticina",0,0,20,0,45,10,25,116,0,14,0,7,11,47,60,1,12,4,13,0,26,0,33,0
"Alternaria.zinniae",0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,7,3,0,0,0,0,0,0
"Amycosphaerella.africana",3,0,0,0,12,0,6,5,0,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0
"Anthostomelloides.leucospermi",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphanoascus.mephitalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Apiotrichum.dehoogii",0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Apiotrichum.gamsii",0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
